gene_symbol,Cd52
analysis_id,9fi9v7402g8y462
pvalue,0.9592022
gene_accession_id,MGI:1346088
parameter_id,IMPC_CSD_036_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Startle response
