analysis_id,zhkv2k6275kl9i3
pvalue,0.1089307
parameter_name,Snout morphology
gene_symbol,Kdm5b
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
mouse_strain,C57BL
