analysis_id,0l03534fo2oddc1
pvalue,0.0926243
mouse_strain,C57BL
parameter_id,MGP_MLN_009_001
gene_accession_id,MGI:1929242
parameter_name,Effector Treg cells - % of Treg
gene_symbol,Ivd
mouse_life_stage,Early adult
