parameter_name,Clavicle
pvalue,0.2539251
gene_symbol,Wars2
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
analysis_id,4f74cd1j823m23n
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
