gene_symbol,Hspa5
parameter_id,MGP_IMM_048_001
pvalue,0.5338773
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Follicular B cells - % of B2 cells
analysis_id,zs006r40762y8o2
gene_accession_id,MGI:95835
