gene_symbol,Arnt
mouse_strain,C57BL
parameter_name,Periphery resting time
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:88071
pvalue,0.6487696
analysis_id,rs9hr4846025846
mouse_life_stage,Early adult
