analysis_id,386a4i1556046ej
pvalue,0.6373485
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
