gene_symbol,Ilkap
parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
pvalue,0.4984691
analysis_id,91918k3evh43v87
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1914694
mouse_strain,C57BL
