analysis_id,115dbz4jh04s2f9
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
parameter_name,QT
pvalue,0.429165
