analysis_id,19524mqj2e73x7o
mouse_life_stage,Early adult
gene_symbol,Stk35
pvalue,0.3074165
gene_accession_id,MGI:1914583
mouse_strain,C57BL
parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
