parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
pvalue,0.141194
analysis_id,98n53eb823p1n96
gene_symbol,Secisbp2l
mouse_strain,C57BL
