analysis_id,58n35fr7xlc2u9f
gene_symbol,Etfdh
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:106100
mouse_strain,C57BL
parameter_id,MGP_MLN_071_001
pvalue,0.3607216
