gene_symbol,Pum1
analysis_id,gk406rg9q643092
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_028_001
pvalue,0.5757052
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
