analysis_id,6qll4s6tuf4rrf5
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.778842
parameter_name,Creatinine
parameter_id,JAX_URI_002_001
gene_symbol,Psmd14
