parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.1805533
analysis_id,nk93v702p659b25
parameter_id,MGP_CSD_008_001
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
gene_symbol,Rgs20
