parameter_name,Eosinophil cell count
gene_accession_id,MGI:1915087
parameter_id,IMPC_HEM_036_001
pvalue,0.2634883
mouse_strain,C57BL
gene_symbol,Tiprl
mouse_life_stage,Early adult
analysis_id,14vnt0t11g164b6
