analysis_id,0xh32g1300ru958
mouse_life_stage,Early adult
pvalue,0.8048933
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
parameter_name,Total food intake
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
