gene_symbol,Ift74
mouse_life_stage,Early adult
parameter_name,Lens Opacity
mouse_strain,C57BL
gene_accession_id,MGI:1914944
parameter_id,UCDLA_EYE_017_001
pvalue,0.1660965
analysis_id,sz48ny9t9t1jl98
