analysis_id,924y31i45bnd53a
parameter_name,Shape of vertebrae
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
pvalue,0.7817534
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_018_001
