analysis_id,4pn8cguvh544t14
pvalue,0.6313413
parameter_name,Tibia length
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
