analysis_id,jagwbr90d53gg4i
gene_symbol,Hpca
pvalue,0.9890593
parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1336200
