gene_symbol,Trp53i11
pvalue,0.1001564
parameter_id,IMPC_OFD_016_001
gene_accession_id,MGI:2670995
analysis_id,rguj0007am48y30
mouse_life_stage,Early adult
parameter_name,Center permanence time
mouse_strain,C57BL
