parameter_name,Mean cell volume
mouse_life_stage,Early adult
pvalue,0.2358534
gene_accession_id,MGI:2684980
parameter_id,ESLIM_016_001_005
mouse_strain,C57BL
gene_symbol,Mms22l
analysis_id,m90g02ehgz3zxb1
