gene_symbol,Maco1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.07092421
analysis_id,94zdz510z5a96qc
gene_accession_id,MGI:1913396
parameter_id,IMPC_HEM_029_001
parameter_name,Neutrophil differential count
