analysis_id,61kpt5my32rnh83
pvalue,0.6194188
mouse_life_stage,Early adult
parameter_name,HDL-cholesterol
gene_symbol,RAP2B
mouse_strain,C57BL
parameter_id,IMPC_CBC_016_001
gene_accession_id,MGI:1921262
