analysis_id,johx9gi681l51ey
parameter_name,Fasted blood glucose concentration
gene_symbol,Opn3
pvalue,0.4167517
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IPG_010_001
