parameter_name,Lumbar processes
pvalue,0.426411
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
gene_symbol,Cdin1
analysis_id,2052526464067jr
