analysis_id,v70hwtid7785061
mouse_life_stage,Early adult
gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,0.3411702
parameter_id,IMPC_EYE_062_001
gene_accession_id,MGI:1913483
parameter_name,Right total retinal thickness
