analysis_id,h70y31y34u559r7
mouse_strain,C57BL
parameter_id,MGP_PBI_018_001
pvalue,0.1353572
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
gene_symbol,Pglyrp3
parameter_name,Ly6Clow monocyte percentage
