analysis_id,461319f3003f4l7
gene_symbol,Ubxn11
pvalue,0.7307065
mouse_strain,C57BL
parameter_id,MGP_IMM_100_001
parameter_name,Resting NK cells - % of CD45+
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
