analysis_id,214a2i93ni16c9i
gene_accession_id,MGI:1924360
parameter_name,Snout morphology
pvalue,0.4678129
parameter_id,MGP_CSD_066_001
gene_symbol,Gpbp1l1
mouse_strain,C57BL
mouse_life_stage,Early adult
