gene_symbol,Alkbh3
analysis_id,hskoeau2j7l03g5
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,center - resting time
gene_accession_id,MGI:1916363
pvalue,0.5527373
parameter_id,M-G-P_007_001_011
