parameter_name,Phosphorus
gene_symbol,Dnajc8
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_010_001
mouse_strain,C57BL
analysis_id,1g119c6gu4932w2
pvalue,0.7389982
gene_accession_id,MGI:1915848
