analysis_id,dg1a43e96j411w5
parameter_name,% Pre-pulse inhibition - Global
pvalue,0.3206841
gene_symbol,Npbwr1
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_id,IMPC_ACS_037_001
mouse_strain,C57BL
