mouse_strain,B6J
gene_symbol,Nr0b2
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
analysis_id,e556717b2401eho
parameter_id,IMPC_EYE_016_001
pvalue,0.06033469
parameter_name,Lens
