analysis_id,q6nu698f9w612q6
gene_symbol,Nemp2
pvalue,0.5565848
mouse_strain,C57BL
gene_accession_id,MGI:2444113
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
mouse_life_stage,Early adult
