parameter_name,Fat mass
gene_accession_id,MGI:2140475
pvalue,0.8022066
analysis_id,4e4ad184jf9f62e
gene_symbol,AU040320
mouse_life_stage,Middle aged adult
parameter_id,IMPC_DXA_002_001
mouse_strain,C57BL
