parameter_name,cDCs CD11b Type
pvalue,0.6129445
parameter_id,IMPC_IMM_073_001
mouse_life_stage,Early adult
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
analysis_id,403f0wt56d2k9g1
mouse_strain,C57BL
