analysis_id,3478444gw224bp8
gene_accession_id,MGI:1914561
pvalue,0.99113
parameter_name,Alkaline phosphatase
gene_symbol,Nanp
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
