analysis_id,g1w347au8s0bl9t
parameter_name,Center permanence time
mouse_strain,C57BL
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_id,IMPC_OFD_016_001
mouse_life_stage,E9.5
pvalue,0.2558603
