analysis_id,14c8bcv5jf89hue
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
pvalue,0.3136386
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
