gene_symbol,Nr0b2
analysis_id,20xqp6k1f3s6m68
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
pvalue,0.3973302
parameter_name,Total T cell percentage
mouse_strain,B6J
parameter_id,MGP_PBI_001_001
