gene_symbol,AU040320
parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,BMC/Body weight
pvalue,8.995577e-05
gene_accession_id,MGI:2140475
analysis_id,ri3u12i63y6c606
