parameter_id,IMPC_CSD_008_001
gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
pvalue,0.4471687
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,057dj84kz8bpm83
parameter_name,Coat - color pattern - back
