parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
mouse_strain,129SV
analysis_id,626lba5k5aj76e5
pvalue,0.5196079
mouse_life_stage,Early adult
