gene_symbol,Trp53i11
pvalue,0.2844861
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
analysis_id,i7949qba559kg1v
parameter_name,Clavicle
mouse_strain,C57BL
parameter_id,IMPC_XRY_007_001
