analysis_id,33brvm6g41p7k7h
mouse_life_stage,Early adult
gene_symbol,Cds2
pvalue,0.3403983
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,129SV
parameter_id,IMPC_HEM_039_001
gene_accession_id,MGI:1332236
