parameter_id,IMPC_IMM_047_001
mouse_life_stage,Early adult
gene_symbol,Psmd14
pvalue,0.2577403
analysis_id,4ty1259id7662v3
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:1913284
