analysis_id,5pngm21e004yii1
parameter_id,CCP_XRY_001_001
pvalue,0.7402721
mouse_strain,C57BL
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
parameter_name,Skull shape
mouse_life_stage,Early adult
