analysis_id,q798719498b7h43
parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
gene_symbol,Fgb
gene_accession_id,MGI:99501
pvalue,0.05187126
mouse_strain,C57BL
mouse_life_stage,E12.5
