analysis_id,t79eikfl637bf9d
mouse_strain,C57BL
gene_accession_id,MGI:1915678
parameter_name,Ly6Clow monocyte percentage
pvalue,0.9986461
parameter_id,MGP_PBI_018_001
gene_symbol,Steap3
mouse_life_stage,Early adult
