parameter_id,IMPC_GEL_029_001
parameter_name,Midbrain
analysis_id,q7zo9kjn4526584
gene_symbol,Mecom
mouse_strain,C3H
pvalue,0.4714718
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
