parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
gene_symbol,Ssr2
analysis_id,od45z61vd8w4ptp
mouse_strain,C57BL
pvalue,0.480947
parameter_name,Chloride
gene_accession_id,MGI:1913506
