parameter_name,Chloride
pvalue,0.1806273
mouse_life_stage,Early adult
gene_symbol,Rab13
parameter_id,IMPC_CBC_003_001
analysis_id,680o069erwp3w30
mouse_strain,C57BL
gene_accession_id,MGI:1927232
