gene_symbol,Bach2
parameter_id,MGP_IMM_067_001
mouse_life_stage,Early adult
parameter_name,CD11b-low cDC - % of cDC
gene_accession_id,MGI:894679
pvalue,0
analysis_id,u1e17t5k4zer19a
mouse_strain,C57BL
