analysis_id,n10m79q6j6npffr
mouse_strain,129SV
parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
mouse_life_stage,Early adult
pvalue,0.6310967
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
