gene_symbol,Ssr2
parameter_name,Clavicle
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.233156
parameter_id,IMPC_XRY_007_001
gene_accession_id,MGI:1913506
analysis_id,269v7et93085ej0
