parameter_name,Latency to center entry
gene_symbol,Lcn2
gene_accession_id,MGI:96757
pvalue,0.5354309
analysis_id,96k12wmaqwc3417
mouse_strain,C57BL
parameter_id,IMPC_OFD_018_001
mouse_life_stage,Early adult
