analysis_id,419bt6u9pzqbsry
parameter_name,HR
gene_symbol,Nipal3
pvalue,0.3408865
mouse_strain,129SV
gene_accession_id,MGI:1921802
parameter_id,JAXLA_ECG_002_001
mouse_life_stage,Early adult
