parameter_name,eye size
gene_symbol,Bcs1l
analysis_id,sey958a5sp16or9
gene_accession_id,MGI:1914071
parameter_id,ESLIM_001_001_117
pvalue,0.6954896
mouse_life_stage,Early adult
mouse_strain,C57BL
