analysis_id,5641z43hhb4fmk4
pvalue,0.2090182
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
parameter_id,HRWLLA_GRS_010_001
parameter_name,Forelimb grip strength normalised against body weight
mouse_strain,C57BL
gene_symbol,Atrn
