parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
pvalue,0.797581
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
analysis_id,9eij881i684qv54
mouse_strain,C57BL
gene_symbol,Pglyrp3
