gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
analysis_id,l74j60j002ksb6o
pvalue,0.4790917
parameter_name,Caudal processes
