parameter_name,cDCs CD11b Type
analysis_id,aqxqmp3s7oyb2s2
pvalue,0.6425166
parameter_id,IMPC_IMM_073_001
mouse_strain,C57BL
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
gene_symbol,Zmynd8
